id,name,host_id,host_profile_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1046015724103910029,Prima Boston North End 2brm,2006852,1462521630116987053,Jay,,North End,42.36474704062829,-71.05588948386952,Entire home/apt,,1,95,2025-12-06,4.47,16,329,53,STR-546562
1046660280019085273,Boston Charm 2- Private Room Near Dowtown,33765183,1465493639449268319,Anh,,Dorchester,42.30218,-71.0624,Private room,,1,120,2025-11-30,6.36,6,227,83,STR-556094
1046911896708234351,"Blueground | S Boston, gym, nr red line & shops",107434423,1462889176402806013,Blueground,,South Boston,42.341136,-71.049587,Entire home/apt,,30,0,,,287,323,0,
1048073482993646187,Beautiful peaceful and safe,301580171,1469546571812784286,Donald,,Hyde Park,42.2584698,-71.1198095,Entire home/apt,,2,2,2024-10-21,0.14,3,358,0,StR-104774
1049558996179766154,Peacefully Safe and unique,301580171,1469546571812784286,Donald,,Hyde Park,42.2591,-71.12067,Entire home/apt,,29,0,,,3,358,0,STR-144818
1050091154059406405,Large 2 BR|2 BA + Patio in Back Bay,9410008,1462813405226616143,Jason,,Back Bay,42.34858755849173,-71.08947860978112,Entire home/apt,,4,38,2025-11-17,1.63,16,256,20,STR-544868
1050117306360743232,Brand New 2 BR | 1 BA in So. BOS #2,9410008,1462813405226616143,Jason,,South Boston,42.33412,-71.04619,Entire home/apt,,5,17,2025-09-02,0.74,16,261,7,STR-544883
1050464236680428174,"Blueground | Downtown, gym & w/d, nr waterfront",107434423,1462889176402806013,Blueground,,Downtown,42.3537627,-71.05305440000001,Entire home/apt,,30,0,,,287,334,0,
1050621348077465245,"Blueground | Downtown, gym & laundry, nr shops",107434423,1462889176402806013,Blueground,,Downtown,42.3537627,-71.05305440000001,Entire home/apt,,30,0,,,287,246,0,
1051006846560102369,Close to major hospitals,70329765,1466870576290914597,Nadine,,Roxbury,42.320108757690704,-71.0785428252252,Entire home/apt,,91,0,,,1,263,0,
1051415916563794444,"Spacious 1BR, Harbor & Skyline Views | Boston",30283594,1465445680495565156,Global Luxury Suites,,East Boston,42.36638,-71.04007,Entire home/apt,,1,7,2025-11-03,0.30,11,313,6,Exempt: This listing is a hotel or motel
1053473433861729173,Conveniently located in Boston,65277362,1466807217560481932,Aman,,Jamaica Plain,42.31813,-71.10067,Entire home/apt,,29,0,,,1,270,0,STR-546212
1054609177423006832,Quiet Suite in Boston,552618288,1470469799702361812,Hugh,,Hyde Park,42.24991,-71.14139,Private room,,1,0,,,1,269,0,STR-580418
1054620443981004577,Boston Private Bedroom near train/bus,4546050,1462660156874295812,Margarita,,West Roxbury,42.279750221552625,-71.1604904383421,Private room,,5,20,2025-10-22,0.97,5,351,5,STR-520919
1058544895983755433,Jamaica Plain apartment for travel nurses,31516518,1465463232397114219,Jessica,,Jamaica Plain,42.308061456985364,-71.10006342931624,Private room,,91,0,,,1,267,0,
1059413145024256755,2. Spacious Apt easy commute to Downtown Boston.,89328922,1462846423058861810,Ehab,,Dorchester,42.32129194279933,-71.05745866589561,Entire home/apt,,1,4,2025-04-23,0.18,15,213,3,STR-455882
1060401518925605316,"Boston Hospitality Homes, Harvard",428724673,1469942637016703256,Priyanka,,Allston,42.35925570000001,-71.12491399999999,Entire home/apt,,3,61,2025-12-18,2.82,3,203,26,STR-594723
1060700520498426267,Boston Bedroom with private bath/step to Train&Bus,4546050,1462660156874295812,Margarita,,West Roxbury,42.28089,-71.15935,Private room,,5,9,2025-10-23,0.42,5,346,2,STR-520919
1062585348445365680,Spacious North End 1 BR | 1BA,9410008,1462813405226616143,Jason,,North End,42.36507,-71.05154,Entire home/apt,,4,54,2025-11-09,2.27,16,246,28,STR-544881
1062602477618799804,Charming Brownstone Studio,409684302,1469870389347785678,Justin And Mandy,,South End,42.34116,-71.08065,Entire home/apt,,1,0,,,14,332,0,Exempt: This listing is a hotel or motel
1062606889644674362,Brand New 2 BR | 1 BA in So. BOS #3,9410008,1462813405226616143,Jason,,South Boston,42.335650488641726,-71.04625129340066,Entire home/apt,,5,27,2025-09-30,1.19,16,251,12,STR-544883
