id,name,host_id,host_profile_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
3781,Harborside-Walk to subway,4804,1462506429675641583,Frank,,East Boston,42.36413,-71.02991,Entire home/apt,,29,27,2025-09-30,0.21,1,184,1,
5506,** Fort Hill Inn Private! Minutes to center!**,8229,1462506610204730632,Terry,,Roxbury,42.32844,-71.09581,Entire home/apt,,3,140,2025-12-07,0.69,11,298,9,STR-490093
6695,"Fort Hill Inn *Sunny* 1 bedroom, condo duplex",8229,1462506610204730632,Terry,,Roxbury,42.32802,-71.09387,Entire home/apt,,3,143,2025-11-29,0.72,11,237,8,STR-491702
10811,Bostons Best Rentals -Studio Prestigious Back Bay,38997,1462507326675374812,Michelle,,Back Bay,42.35173,-71.08685,Entire home/apt,,91,9,2019-07-22,0.07,9,233,0,
10813,The Back Bay Nook  -Brownstone in Prestigious Area,38997,1462507326675374812,Michelle,,Back Bay,42.35061,-71.08787,Entire home/apt,,32,6,2025-06-30,0.07,9,211,1,
18711,The Dorset Redline ~ Pvt Apt | 3BR 1BA | w/AC & WD,71783,1462508362719740106,Swank Properties Boston,,Dorchester,42.32212,-71.06096,Entire home/apt,,30,51,2023-08-19,0.27,56,241,0,
29765,Moroccan Decor Suite,128280,1462510328011930483,Elizabeth,,Charlestown,42.37754,-71.06642,Entire home/apt,,2,103,2024-10-27,0.54,1,252,0,STR-454024
40601,Private room & bath - Jamaica Plain,174986,1462511771064718213,Robert,,Jamaica Plain,42.31347,-71.11082,Private room,,10,105,2025-11-21,0.56,1,221,3,STR-551851
45987,Garden Studio,205107,1462512590666109496,Atef,,Charlestown,42.37424,-71.06081,Entire home/apt,,29,145,2025-12-17,0.78,1,82,4,STR-409822
47521,Bright Furnished Room with Separate Entrance,119019,1462510028211654672,Hermina,,Dorchester,42.29871,-71.05954,Entire home/apt,,1,344,2025-12-22,1.85,5,3,10,STR-595734
60029,Room in geographical heart of Hub,255183,1462513893145710063,Michelle,,Roxbury,42.32546,-71.08894,Private room,,29,145,2024-02-29,0.79,1,211,0,STR-415714
60356,Bookcase 1bd facing Boston Common,26988,1462507068700680197,Anne,,Beacon Hill,42.35894,-71.0631,Entire home/apt,,32,19,2020-09-08,0.13,4,364,0,
77681,Waterfall Room: Bunker Hill B&B,416912,1462517874347289451,Christiane,,Charlestown,42.37865,-71.06373,Private room,,29,71,2023-11-04,0.41,1,365,0,STR-415924
77691,Private room in Victorian house,119019,1462510028211654672,Hermina,,Dorchester,42.29871,-71.05954,Private room,,29,304,2025-01-10,1.69,5,322,1,STR-580274
163941,Fort Hill Inn  2 bed Duplex ApT!  Location!,8229,1462506610204730632,Terry,,Roxbury,42.32806,-71.09423,Entire home/apt,,3,328,2025-12-07,1.88,11,231,38,STR-446659
184893,City Oasis/sleeps 4 near historical sites,887148,1462514927454911252,Dawn,,Charlestown,42.37823,-71.06778,Entire home/apt,,91,0,,,3,270,0,STR-539322
197727,"Great Boston neighborhood , Jamaica Plain",964356,1462534430080317943,Jill,,Jamaica Plain,42.31331,-71.12061,Private room,,30,68,2025-11-22,0.39,1,148,5,
197972,Serene Studio in a Perfect Location,965697,1462534483105275808,Kristina,,Jamaica Plain,42.31533,-71.11025,Entire home/apt,,3,578,2025-11-10,3.34,2,151,43,STR-409453
205894,Large bedroom in Victorian House/Room D,119019,1462510028211654672,Hermina,,Dorchester,42.29871,-71.05954,Private room,,1,217,2024-10-08,1.24,5,314,0,STR-594613
210097,Treetop Haven in the City,1035747,1462536391461286429,Maria Elena,,Jamaica Plain,42.31685,-71.10867,Entire home/apt,,1,335,2025-11-28,1.93,1,128,22,STR-545902
220676,Private room off the Freedom Trail.,1144302,1462538176645156323,Howard,,North End,42.36614,-71.05226,Private room,,1,378,2025-12-15,2.18,1,162,32,STR-454055
257588,BOSTON LUXURY FOR LESS!! NEAR BCEC,1355344,1462543579909933012,Meri,,South Boston,42.33255,-71.04125,Entire home/apt,,2,545,2025-11-29,3.33,1,274,35,STR-411297
297994,Your cozy stay in South Boston,1536237,1462518735772908380,Albert,,South Boston,42.33583,-71.05271,Entire home/apt,,1,76,2025-10-20,0.45,1,89,9,STR-601528
315982,"Beautiful Townhouse, 2 BR & 2 Bath",119019,1462510028211654672,Hermina,,Dorchester,42.29871,-71.05954,Entire home/apt,,1,122,2025-09-17,0.73,5,142,1,STR-594613
377474,Cozy Room in Beautiful Victorian House /E,119019,1462510028211654672,Hermina,,Dorchester,42.29871,-71.05954,Private room,,1,128,2025-12-17,0.79,5,295,28,STR-594613
447826,"Sweet Little House in JP, Boston",2053557,1462585186080780861,Hilary,,Jamaica Plain,42.31658,-71.11012,Private room,,1,438,2025-11-29,2.66,1,240,24,STR-459697
530983,The Grand View ~ House! | 5BR 2BA w/AC & WD,71783,1462508362719740106,Swank Properties Boston,,Dorchester,42.31368,-71.0612,Entire home/apt,,30,65,2019-10-29,0.41,56,36,0,
533152,The Penthouse Redline ~ Pvt Apt | 2BR w/AC & WD,71783,1462508362719740106,Swank Properties Boston,,Dorchester,42.32212,-71.06096,Entire home/apt,,30,67,2025-11-03,0.47,56,334,4,
561769,The Sky View Redline ~ Pvt Apt | 3BR 1BA w/AC & WD,71783,1462508362719740106,Swank Properties Boston,,Dorchester,42.31371,-71.06126,Entire home/apt,,30,67,2024-02-27,0.41,56,360,0,
579605,The Mayhew Redline ~ Pvt Apt | 3BR 1B w/AC & W/D,71783,1462508362719740106,Swank Properties Boston,,Dorchester,42.32212,-71.06095,Entire home/apt,,30,58,2023-08-14,0.36,56,141,0,
601750,145R1 | The Redlands 1 | 2BR 1BA w/AC | Private,71783,1462508362719740106,Swank Properties Boston,,West Roxbury,42.29061,-71.15293,Entire home/apt,,30,0,,,56,364,0,Exempt: This listing is a unit used for furnished institutional or business stays
611081,Houseboat in Boston Harbor,3029783,1462615376871125278,Deborah,,Charlestown,42.37579,-71.04981,Entire home/apt,,1,148,2025-11-24,1.31,3,320,25,STR-416892
708802,Boston / Charlestown Apartment,3648427,1462636060979394833,Gerard,,Charlestown,42.37826919555664,-71.06332397460938,Entire home/apt,,2,532,2025-11-16,3.31,1,151,40,STR-401905
743211,15 Min. to Historic Sights and World Cup Transport,2796082,1462526349796357798,Margaret,,Jamaica Plain,42.30833,-71.11456,Entire home/apt,,3,94,2025-10-19,0.61,2,237,7,STR-599568
753446,6 miles away from downtown Boston!,3962517,1462643726706987545,Sami,,Roslindale,42.28573,-71.12334,Private room,,91,141,2019-07-27,1.12,1,365,0,STR-397984
801680,Fort Hill Inn -Cool Space-BOSTON'S BEST-1 bedroom,8229,1462506610204730632,Terry,,Roxbury,42.32795,-71.09412,Entire home/apt,,3,75,2025-10-19,0.47,11,286,1,STR-446651
820073,"Modern Loft, 1700 SqFt. Location!",1911807,1462581579864948464,Kelly,,Downtown,42.3558,-71.06104,Entire home/apt,,2,253,2025-12-15,1.64,2,329,55,STR-411359
849408,"Perfect & Practical Boston Rental (1,500+ sqft)",4434391,1462657402985895990,Damon,,Roslindale,42.29038,-71.13919,Entire home/apt,,5,119,2025-10-28,0.82,1,27,10,STR-456742
894539,Private room in house,4762495,1462664879902866247,Jennifer,,Roslindale,42.29017,-71.13169,Private room,,3,68,2025-09-02,0.46,2,225,5,STR-522159
973695,Best Location Luxury Beacon Hill North End Condo,1760577,1462577720903327903,Le,,Downtown,42.359764099121094,-71.06116485595703,Private room,,91,61,2022-09-11,0.41,1,365,0,
989163,"The Dalton - The Upton Boston, South End",5430185,1462540588451882153,Laura,,South End,42.34308,-71.07316,Entire home/apt,,2,94,2025-09-25,0.63,7,96,8,
1071235,Cozy JP Studio-Great Location!,965697,1462534483105275808,Kristina,,Jamaica Plain,42.31653,-71.11049,Entire home/apt,,1,427,2025-11-29,2.78,2,138,47,STR-409453
1090545,ExclusiveBackBayBostonCtr-EntireFloorBrick townhse,1984434,1462521503279383823,Irene,,Back Bay,42.34475,-71.08204,Private room,,29,117,2019-12-06,0.77,1,364,0,STR-398748
1092093,Duplex Penthouse in Longwood Area,26988,1462507068700680197,Anne,,Mission Hill,42.33395767211914,-71.10222625732422,Entire home/apt,,91,31,2023-04-30,0.20,4,357,0,
1109224,4 bedroom Victorian Condo unit,1531239,1462560920280280637,Lita,,Jamaica Plain,42.32004,-71.11185,Entire home/apt,,2,97,2025-07-27,0.65,1,219,3,STR-399217
1130279,"North End 3BR Condo - Spacious, Central  Location",2494599,1462596674567782857,Patricia,,North End,42.36489,-71.05198,Entire home/apt,,2,212,2025-11-23,1.38,1,298,36,STR-466324
1161210,Comfy Home in Boston Suburbs,3887707,1462641852411672562,Nancy,,West Roxbury,42.27171,-71.16688,Private room,,2,211,2025-10-27,1.38,1,353,4,STR-597328
1275498,"The Washington - The Upton Boston, South End",5430185,1462540588451882153,Laura,,South End,42.34294,-71.07304,Entire home/apt,,2,127,2025-11-16,0.84,7,86,14,Exempt: This listing is a hotel or motel
1303261,Historic Beacon Hill,2120816,1462586901641161317,Larry,,Beacon Hill,42.35714,-71.06968,Entire home/apt,,91,23,2018-10-25,0.15,1,358,0,
1445064,Quaint Bright Sunlit bedroom near MGH labs/D’Town,4724006,1462537018662612131,Rosalia,,Charlestown,42.3800475,-71.062315,Private room,,29,123,2025-09-30,0.82,1,365,5,
1545185,Large Studio Apt w/ Full Kitchen & Bath + Parking!,697401,1462526512255198719,Nick,,Brighton,42.34873,-71.15693,Entire home/apt,,2,317,2025-11-06,2.13,4,77,52,STR-383211
1596664,"Fort Hill Top - 2Bk Private room,  brick townhouse",8513158,1462769246621981778,Kevin,,Roxbury,42.3256,-71.09413,Private room,,30,27,2025-04-25,0.29,3,362,1,STR-383293
1644031,Large Private Bedroom & Bathroom by the Seaport,8725557,1462824844046463959,Joshua,,South Boston,42.33835,-71.0472,Private room,,1,645,2025-11-20,5.39,1,70,68,STR-401177
1682936,Charming 2 level Apartment,8898973,1462789820330998349,Gianni,,Back Bay,42.349278,-71.087074,Entire home/apt,,30,238,2025-08-09,1.65,5,182,2,Exempt: This listing is a unit used for furnished institutional or business stays
1692573,Urban oasis trendy JP 'hood - suite,8814724,1462787676868829635,Kelly,,Jamaica Plain,42.31,-71.1123,Entire home/apt,,2,332,2025-11-10,2.24,1,316,24,STR-447499
1721016,Quiet Sunlit Attic Studio,7723912,1462739549427207663,Fj,,Roslindale,42.28639,-71.13199,Entire home/apt,,29,13,2025-06-05,0.11,3,359,1,
1724900,Charming sunlit house in Boston,7723912,1462739549427207663,Fj,,Roslindale,42.28447,-71.13301,Entire home/apt,,29,44,2020-11-30,0.30,3,362,0,
1732804,Private room/ MUST LOVE DOGS,9090219,1462794683472145140,Thomas,,Dorchester,42.29009,-71.05762,Private room,,1,203,2025-11-10,1.36,1,313,16,STR-456144
1810172,Room for 2 in Rozzie - Full Bath,8834105,1462788168924757859,Rebecca,,Roslindale,42.28127,-71.13304,Private room,,29,47,2024-07-28,0.32,1,353,0,
1810397,3Bed/2.5Bath Luxury Triplex South End's Union Park,9485021,1462815401547353460,Stacy,,South End,42.34279,-71.0711,Entire home/apt,,5,61,2025-12-01,0.44,1,253,7,STR-520680
1819994,"RIVERVIEWS-Walk Everywhere! Central, Safe LOCATION",9529655,1462569979695574564,Suzanne,,Fenway,42.34981,-71.09476,Entire home/apt,,91,2,2018-05-24,0.02,4,362,0,
2021483,Spacious Updated 2 Bed Boston Condo w/ Deck,10197317,1462834088491872469,Shannon,,South Boston,42.3358,-71.04948,Entire home/apt,,29,22,2024-07-21,0.19,8,179,0,STR-461452
2021489,Spacious Updated Boston Room/Condo,10197317,1462834088491872469,Shannon,,South Boston,42.33375,-71.04767,Private room,,29,85,2023-08-11,0.72,8,365,0,STR-383155
2126053,"Studio, w kitchenette, in owner's Beacon Hill home",10844648,1462850932370176166,Janet,,Beacon Hill,42.35771,-71.06978,Entire home/apt,,29,131,2025-11-30,0.92,1,197,3,STR-395757
2183117,I bdrm in Boston/Allston/Brookline,11132354,1462857834974298316,Alla,,Allston,42.34995,-71.13427,Entire home/apt,,30,56,2025-11-02,0.42,1,142,1,
2215762,"The Clare - The Upton Boston, South End",5430185,1462540588451882153,Laura,,South End,42.343092,-71.07307807478533,Entire home/apt,,3,102,2025-11-19,0.72,7,103,11,Exempt: This listing is a hotel or motel
2378421,Light-filled Private Suite on Beautiful Street,12150111,1462881230061141720,Antoinette,,Jamaica Plain,42.31146,-71.11947,Entire home/apt,,2,213,2025-12-15,1.50,1,139,20,STR-545109
2381143,Sunny 1 Bedroom,12165186,1462881543336885640,Masha,,Brighton,42.34391,-71.15628,Entire home/apt,,91,12,2025-08-31,0.09,3,235,2,
2410846,"Sunny Beacon Hill, corner unit top floor",3137257,1462528251169006109,Local Furnished,,Downtown,42.35702,-71.06168,Entire home/apt,,91,37,2024-12-31,0.26,1,352,1,
2495047,"The Tremont - The Upton Boston, South End",5430185,1462540588451882153,Laura,,South End,42.34309,-71.07316,Entire home/apt,,2,100,2025-10-12,0.73,7,98,11,Exempt: This listing is a hotel or motel
2526773,Charming comfort 1 BR / Studio,12165186,1462881543336885640,Masha,,Brighton,42.34272,-71.15672,Entire home/apt,,91,19,2025-05-17,0.14,3,225,1,
2701124,Charlesview Suites Back Bay,13822322,1462923841892538549,Varouj,,Back Bay,42.34492,-71.08482,Entire home/apt,,29,74,2022-07-06,0.54,1,365,0,STR-416239
2754975,Perfect Location to Explore Boston,6885890,1462717755998487908,Jonathan,,Beacon Hill,42.35902,-71.06296,Entire home/apt,,365,99,2018-10-10,0.71,1,117,0,
2864688,Beautiful 3 bedroom 2 bath apt in Charlestown,887148,1462514927454911252,Dawn,,Charlestown,42.38148,-71.06967,Entire home/apt,,91,0,,,3,365,0,Exempt: This listing is a unit that has contracts with hospitals
2886933,BEAUTIFUL SINGLE FAMILY VICTORIAN in Hyde Park!,13776857,1462922345319888006,Katy,,Hyde Park,42.26043,-71.11766,Entire home/apt,,2,143,2025-10-20,1.01,1,23,9,STR-429200
3164650,2bd APT 20min from Downtown Boston,16052189,1462596404243949425,Jonathan,,Hyde Park,42.23533,-71.13256,Entire home/apt,,29,38,2024-03-15,0.27,11,301,0,
3193484,Quiet Room Near the Red Line!,16186589,1462980594089558530,Marie,,Dorchester,42.28814,-71.06889,Private room,,30,15,2025-09-17,0.12,23,364,2,
3229255,1bd Boston apt - convenient & quiet,16343599,1462597543698414103,Ella,,Roslindale,42.28657,-71.13236,Entire home/apt,,2,216,2025-12-19,1.56,1,317,26,STR-544893
3294152,"Garden Suite near subway, beach",9898255,1462826449099796915,Jessica,,Dorchester,42.31281,-71.06098,Entire home/apt,,2,276,2025-11-11,1.97,3,262,16,STR-547060
3343428,"AKBrownstone: custom-built, park garden view by T",11228809,1462859998263522945,Jonathan,,Roxbury,42.32811,-71.09157,Private room,,1,530,2025-12-21,4.36,5,39,72,STR-580450
3520353,Luxury Beacon Hill Apartment 1-BR,6508758,1462708259378621027,Xerxes,,Beacon Hill,42.35884,-71.06332,Entire home/apt,,91,254,2024-10-31,1.83,1,272,0,
3539510,The Roseclair Redline ~ Pvt Apt | 3BR 1B w/AC & WD,71783,1462508362719740106,Swank Properties Boston,,Dorchester,42.32213,-71.06094,Entire home/apt,,30,31,2019-06-13,0.23,56,33,0,
3602379,"Modern, Spacious 1BR for 4 - Easy Marathon Access!",18150109,1463037348248195266,Alex,,Roxbury,42.32843,-71.09369,Entire home/apt,,2,349,2025-11-02,2.55,5,126,33,STR-528095
3656168,Parking Close 2 Downtown Renovated,18517776,1463055670185507901,Huggy,,Roxbury,42.31676,-71.08,Private room,,91,6,2018-12-17,0.05,29,365,0,
3705824,Small Rm +walk-in closet Easy to Longwood/Downtown,18517776,1463055670185507901,Huggy,,Roxbury,42.31676,-71.08,Private room,,91,0,,,29,365,0,
3890373,Beacon Hill Fabulous One Bedroom Apartment,19357187,1463076901291366945,Paul,,Beacon Hill,42.35792,-71.06432,Entire home/apt,,29,258,2025-11-03,1.88,1,178,5,
3957602,"Entire 2nd floor, skylight suite is all yours!",2127414,1462587066178929768,Katharine,,Jamaica Plain,42.31016,-71.10582,Private room,,29,130,2025-05-03,0.95,1,89,1,STR-399287
3965313,Minutes to Boston-Near Beach 69-1,20551003,1463121898450307374,May,,East Boston,42.38679,-71.00271,Private room,,91,90,2019-11-11,0.84,1,90,0,
3968797,Sunny bedroom in large quiet house,4762495,1462664879902866247,Jennifer,,Roslindale,42.28969,-71.13183,Private room,,3,78,2025-08-08,0.60,2,146,6,STR-522159
3969526,"Winter rates! Sensational South End,2BR, no stairs",5408229,1462680129944965521,Liesl,,South End,42.33765,-71.07434,Entire home/apt,,29,365,2025-10-03,2.66,1,91,4,
4089940,Spacious Apt In North End,20857768,1463140474528738801,Compass,,North End,42.36619,-71.05217,Entire home/apt,,10,61,2023-08-20,0.45,35,194,0,STR-550229
4173285,"Bright, cozy bedroom in Victorian",2851756,1462610653269243024,Angela,,Dorchester,42.28547,-71.06799,Private room,,91,14,2024-12-01,0.11,1,268,0,
4233242,Quiet Artist's Retreat,197327,1462512389898466571,Melissa,,Jamaica Plain,42.31246,-71.10793,Private room,,29,50,2025-05-31,0.37,2,360,1,STR-416301
4263736,AKBrownstone: Master Suite park view by T,11228809,1462859998263522945,Jonathan,,Roxbury,42.32971,-71.0931,Private room,,1,633,2025-12-21,4.64,5,39,76,STR-580450
4278067,Studio apart Tremont St South End #2,9653086,1462819743474271426,Glenn,,South End,42.34128,-71.07607,Entire home/apt,,33,79,2024-12-14,0.58,4,179,0,
4315439,ONE Room at East Boston Logan Airport,22402141,1463178904072957885,Mirian G,,East Boston,42.38831,-71.0044,Entire home/apt,,4,8,2025-09-28,0.07,2,79,3,STR-613306
4364925,large & grand 2 bedroom South End by Copley Sq #3,9653086,1462819743474271426,Glenn,,South End,42.34128,-71.07607,Entire home/apt,,30,150,2025-09-01,1.11,4,310,1,
4364989,newly furn one bedroom by Copley #6,9653086,1462819743474271426,Glenn,,South End,42.34128,-71.07607,Entire home/apt,,31,88,2024-11-27,0.68,4,270,0,
4410765,"Grt Location, Big 3 Bed, Nr all Colleges, parking",9795590,1462823634991700551,Patrick,,Brighton,42.35309,-71.14822,Entire home/apt,,45,16,2025-08-03,0.13,1,253,2,
4460532,AKBrownstone: modern treetop skyline view by T,11228809,1462859998263522945,Jonathan,,Roxbury,42.32942,-71.09149,Private room,,1,530,2025-12-08,3.91,5,48,84,STR-580450
4461613,Perfectly Located Rental Near MGH & TD Garden #13,22348222,1462620857010380237,Maverick,,Beacon Hill,42.36017,-71.06346,Entire home/apt,,1,245,2025-12-07,1.90,84,334,26,STR-415631
4461846,South End Studio Perfect for Work Travel #36,22348222,1462620857010380237,Maverick,,South End,42.34441,-71.07633,Entire home/apt,,1,112,2025-11-03,0.87,84,222,5,STR-441258
4461901,"Explore Newbury St, Fenway, and Chinatown Nearby,",22348222,1462620857010380237,Maverick,,South End,42.34447,-71.07644,Entire home/apt,,1,184,2025-12-14,1.43,84,236,12,STR-589710
4500409,Boston’s Top Location: Newbury Street – #1,22348222,1462620857010380237,Maverick,,Back Bay,42.34982,-71.08264,Entire home/apt,,1,177,2025-09-29,1.39,84,226,13,STR-445391
4555637,AKBrownstone: Loft rooftop views by T,11228809,1462859998263522945,Jonathan,,Roxbury,42.32965,-71.0932,Private room,,1,607,2025-12-20,4.49,5,34,82,STR-580450
4560053,Fort Hill Inn Historic Beauty! Minutes to Center!,8229,1462506610204730632,Terry,,Roxbury,42.32397,-71.09085,Entire home/apt,,3,129,2025-10-10,0.96,11,288,15,STR-446652
4566095,"The Upton South End, The Copley Suite",5430185,1462540588451882153,Laura,,South End,42.34301,-71.07304,Entire home/apt,,3,42,2025-08-31,0.32,7,140,11,Exempt: This listing is a hotel or motel
4568116,AKBrownstone: cozy private studio by T,11228809,1462859998263522945,Jonathan,,Roxbury,42.32967,-71.09328,Entire home/apt,,1,927,2025-12-21,6.85,5,40,93,STR-580450
4593974,Parking EZ 2 Downtown/Longwood Larg,18517776,1463055670185507901,Huggy,,Roxbury,42.31676,-71.08,Private room,,91,7,2018-02-15,0.06,29,365,0,
4602191,2 Bd/Bth Apt in Prime Location Gorgeous Water View,20079643,1463098884216487275,Alex @ Boston Corporate Housing,,West End,42.3645578,-71.0692521,Entire home/apt,,30,17,2021-06-04,0.15,8,274,0,STR-595465
4614037,Boston Rooftop Retreat-Airport & Train,9073339,1462567943269116080,Elisangela,,East Boston,42.378693,-71.035088,Entire home/apt,,1,463,2025-11-10,3.62,3,357,47,STR-398048
4623114,South End Studio Perfect for Work Travel #46,22348222,1462620857010380237,Maverick,,South End,42.34441,-71.07633,Entire home/apt,,1,187,2025-11-21,1.49,84,245,24,STR-441249
4624582,Parking Easy to downtown/Longwood,18517776,1463055670185507901,Huggy,,Roxbury,42.31676,-71.08,Private room,,91,4,2016-10-31,0.03,29,365,0,
4630071,Charming studio,12165186,1462881543336885640,Masha,,Brighton,42.34341,-71.15451,Entire home/apt,,91,22,2025-12-06,0.21,3,242,2,
4662379,Historic House modernized,24124767,1465283460861556261,Matt,,Brighton,42.34765,-71.15509,Entire home/apt,,3,223,2025-10-13,1.66,1,274,14,STR-470547
4699828,Charming Victorian Furnished Home,19466495,1463079193511944662,Barbara,,Hyde Park,42.2563,-71.12762,Entire home/apt,,29,115,2025-11-02,0.88,1,252,2,STR-615395
4737304,Cosy Celtic Retreat,24158689,1465283936753938521,Deborah,,Brighton,42.35111,-71.16529,Private room,,91,31,2025-11-03,0.24,1,224,2,
4765070,Studio w/ private entrance and bathroom,24584716,1462629935957412132,Katty,,Jamaica Plain,42.32352198858505,-71.10688328334862,Entire home/apt,,4,458,2025-12-19,3.42,1,296,31,STR-545228
5048406,3rd floor room in Victorian House,26062958,1465354762850999162,Yvonne,,Dorchester,42.31124,-71.06551,Private room,,29,41,2023-06-18,0.31,1,365,0,STR-415034
5049582,Quiet room - Great location!,197327,1462512389898466571,Melissa,,Jamaica Plain,42.31327,-71.10811,Private room,,30,38,2025-10-25,0.29,2,345,2,STR-416301
5088560,Stunning SouthEnd/BackBay Penthouse,21609039,1463159476302585584,Susan,,Roxbury,42.34041,-71.08384,Entire home/apt,,29,100,2020-12-27,0.79,3,269,0,Exempt: This listing is a unit used for furnished institutional or business stays
5166870,2 Bdrm Apt w/ tower in JP Victorian,1487352,1462547142131806356,Matthew,,Jamaica Plain,42.30542,-71.10409,Entire home/apt,,2,515,2025-12-07,3.89,1,271,51,STR-446628
5203538,Beautiful Townhouse Boston's South End,26917979,1465384982772065522,Jim,,South End,42.34024,-71.07483,Entire home/apt,,4,46,2025-10-15,0.35,1,279,11,STR-470244
5358934,"Renovated, Quiet, Free Parking",18517776,1463055670185507901,Huggy,,Roxbury,42.31681,-71.08001,Private room,,91,6,2019-11-01,0.05,29,365,0,
5371051,Beautiful 3 bedroom Dorchester MA,27842033,1465410891983561891,Bernard,,Dorchester,42.31163,-71.06351,Entire home/apt,,29,269,2025-11-08,2.19,5,224,3,
5434353,Quiet  Beauty in Boston,9658771,1462819882861619106,Anthony,,Roslindale,42.28629,-71.13839,Entire home/apt,,29,25,2021-04-30,0.20,2,365,0,STR-445527
5495267,Parking Renovated Close to Downtown,18517776,1463055670185507901,Huggy,,Roxbury,42.31676,-71.08,Private room,,91,2,2016-08-30,0.02,29,365,0,
5526487,*Fort Hill Inn: Penthouse Duplex* Close to Center,28662210,1465422961172674984,Terry,,Mission Hill,42.33211,-71.09842,Entire home/apt,,3,253,2025-11-16,1.97,5,273,39,STR-446658
5526514,"Fresh! City Loft Apartment,  Minutes to Center!",28662210,1465422961172674984,Terry,,Roxbury,42.3285,-71.09608,Entire home/apt,,3,132,2025-05-08,1.00,5,282,1,STR-446656
5581575,Private Entrance * King Beds * Parking * Kid Ready,28766987,1465424371823154476,Kathy,,Back Bay,42.34628,-71.08064,Entire home/apt,,29,216,2025-10-15,1.87,1,257,2,STR-400453
5718801,"Heart of South End, Convenient, Comfy Studio #42",22348222,1462620857010380237,Maverick,,South End,42.34441,-71.07633,Entire home/apt,,1,166,2025-11-24,1.30,84,86,11,STR-441252
5746844,Share South End Multi-level Loft/ with parking,10778805,1462849418760982740,Paul,,Roxbury,42.33509,-71.07847,Private room,,91,9,2015-08-21,0.07,2,364,0,
5768819,"Near Fenway Park, South End, and Newbury St #4",22348222,1462620857010380237,Maverick,,South End,42.34447,-71.07644,Entire home/apt,,1,184,2025-12-14,1.47,84,214,31,STR-589708
5769127,"Stay Close to Fenway, Tufts Medical Center & More",22348222,1462620857010380237,Maverick,,South End,42.34447,-71.07644,Entire home/apt,,1,333,2025-12-04,2.59,84,136,24,STR-589704
5781926,City sanctuary - garden terrace - ocean view,29573894,1465435245046898245,Amy,,South Boston,42.33286,-71.04506,Entire home/apt,,3,109,2025-10-26,1.07,1,358,15,STR-398153
5782221,"""La Gemma"" - a gem in the North End",18601802,1463057459972510028,Gina,,North End,42.36726,-71.05424,Entire home/apt,,1,318,2025-09-29,2.50,1,77,18,STR-388064
5825829,Brownstone Luxury Penthouse Condo,30239904,1465445141929547251,Andrew,,Fenway,42.346073150634766,-71.10575866699219,Entire home/apt,,2,115,2019-11-04,0.88,1,326,0,STR-608524
5870922,The Nantucket Room near Harvard Square,26956083,1465385857456219985,Todd,,Allston,42.3605,-71.12633,Private room,,2,417,2025-12-06,3.20,12,194,45,STR-383892
5884429,"2 rms, private bath, females or grandparents only",15396970,1462961319754328952,Linda,,Roslindale,42.28516,-71.13772,Private room,,30,119,2025-11-01,0.92,2,171,6,STR-396424
5919529,Great location! 3 BD single fam. Kid-friendly.,24196977,1465284489959575195,Jenny,,Back Bay,42.35009,-71.07023,Entire home/apt,,91,14,2016-04-22,0.11,1,177,0,
5967421,The Meditation Room near Harvard Square,26956083,1465385857456219985,Todd,,Allston,42.3605,-71.12633,Private room,,29,181,2025-09-30,1.39,12,243,3,
5974886,Close to it all-private parking & red MBTA station,23856705,1465279591678944422,Christina,,Dorchester,42.32431720644971,-71.0586656980579,Entire home/apt,,2,37,2025-10-19,0.29,1,71,13,STR-455594
6080461,Fort Hill Inn- Cozy Studio ApT 1.5 miles to Center,28662210,1465422961172674984,Terry,,Roxbury,42.32966,-71.09597,Entire home/apt,,3,161,2025-10-29,1.24,5,313,17,STR-446654
6131224,Hidden Gem in Boston Hyde Park,7303930,1462728521383701252,Lawrence,,Hyde Park,42.2619,-71.11315,Entire home/apt,,29,29,2025-03-31,0.22,3,333,1,
6238463,Pvt tree top suite in great location,31691830,1465465702879453541,Penny,,Jamaica Plain,42.31583,-71.11448,Private room,,2,414,2025-12-14,3.31,1,55,42,STR-411564
6377998,"Family friendly Victorian home, walk to T",987917,1462535143323241625,Helder,,Jamaica Plain,42.31584,-71.09932,Entire home/apt,,29,43,2025-08-15,0.34,1,164,1,STR-416102
6465075,Spacious 5BR Condo w/parking near METRO,635157,1462524413994464279,Catlin,,Jamaica Plain,42.29828,-71.11048,Entire home/apt,,3,241,2025-11-29,1.87,1,325,23,STR-445893
6544267,Urban Oasis / Apartment perfect for work & create,34227346,1465501640745756381,Kaidi Mali,,Roxbury,42.32932,-71.08925,Entire home/apt,,3,112,2025-11-02,1.19,1,328,14,STR-546631
6603827,Cozy private room near bus stop,34552909,1465508052287463139,Barrie,,Roslindale,42.28411,-71.11693,Private room,,29,19,2025-09-30,0.15,3,87,3,
6646604,"Cozy 1B, Green Line, Boston Coll, Elev, Roof Deck",31340713,1465460976217419594,Kama,,Brighton,42.34118,-71.14678,Entire home/apt,,30,41,2025-06-30,0.32,30,359,2,Exempt: This listing is a unit used for furnished institutional or business stays
